,stop_id,stop_name,stop_lat,stop_lon
184050,60100003724,S+U Alexanderplatz Bhf ,52.521512,13.411267
185448,60100002734,S Hackescher Markt ,52.522607,13.402358
186845,60100001756,S+U Friedrichstr. Bhf ,52.52027,13.387153
188239,60003201214,S+U Berlin Hauptbahnhof,52.525847,13.368924
189633,60003102224,S Bellevue ,52.519951,13.347098
191027,60003103234,S Tiergarten ,52.513959,13.336241
192421,60023201256,S+U Zoologischer Garten Bhf ,52.506921,13.332707
193815,60024203304,S Savignyplatz ,52.505223,13.319003
195182,60024101338,S Charlottenburg Bhf ,52.504805,13.303843
195520,60025423402,S Messe Süd ,52.498771,13.27045
195854,60026105402,S Heerstr. ,52.508273,13.258514
196185,60025321432,S Olympiastadion ,52.511135,13.241111
196516,60025424462,S Pichelsberg ,52.510264,13.227196
196812,60199018711,S Stresow ,52.532505,13.20913
197055,60029101732,S Spandau Bhf ,52.534798,13.197477
197384,60029101731,S Spandau Bhf ,52.534798,13.197477
197668,60025424461,S Pichelsberg ,52.510264,13.227196
197944,60199018712,S Stresow ,52.532505,13.20913
199238,60100001755,S+U Friedrichstr. Bhf ,52.52027,13.387153
200528,60024203303,S Savignyplatz ,52.505223,13.319003
201818,60023201255,S+U Zoologischer Garten Bhf ,52.506921,13.332707
203108,60003103233,S Tiergarten ,52.513959,13.336241
204398,60003102223,S Bellevue ,52.519951,13.347098
205688,60003201213,S+U Berlin Hauptbahnhof,52.525847,13.368924
206981,60100002733,S Hackescher Markt ,52.522607,13.402358
208274,60100003723,S+U Alexanderplatz Bhf ,52.521512,13.411267
209568,60100004703,S+U Jannowitzbrücke ,52.5155,13.418027
210874,60120005008,S Ostbahnhof ,52.510001,13.435747
212017,60120004623,S+U Warschauer Str. ,52.505765,13.449159
212286,60190001573,S Treptower Park ,52.493022,13.460887
212552,60025321431,S Olympiastadion ,52.511135,13.241111
212851,60026105401,S Heerstr. ,52.508273,13.258514
213154,60025423401,S Messe Süd ,52.498771,13.27045
213927,60024102374,S Westkreuz ,52.501152,13.283036
214264,60200013006,S Mühlenbeck-Mönchmühle,52.654076,13.388224
214469,60200012006,S Schönfließ,52.66471,13.33888
214674,60200011002,S Bergfelde,52.669695,13.321455
214961,60260003883,S Zeuthen,52.349649,13.627353
215232,60260004874,S Eichwalde,52.372085,13.614966
215233,60192001006,S Schöneweide Bhf ,52.454611,13.510149
215365,60200011001,S Bergfelde,52.669695,13.321455
215497,60200012008,S Schönfließ,52.66471,13.33888
215734,60260004873,S Eichwalde,52.372085,13.614966
215875,60151001012,S Wartenberg ,52.573266,13.504238
216034,60152001002,S Hohenschönhausen Bhf ,52.566549,13.513698
216192,60152002052,S Gehrenseestr. ,52.555736,13.525653
216342,60152002051,S Gehrenseestr. ,52.555736,13.525653
216493,60152001001,S Hohenschönhausen Bhf ,52.566549,13.513698
216660,60151001011,S Wartenberg ,52.573266,13.504238
217279,60170004041,S Ahrensfelde Bhf ,52.571564,13.566118
217326,60048101202,S Grunewald ,52.48868,13.261944
217909,60048101201,S Grunewald ,52.48868,13.261944
218475,60052201423,S Nikolassee ,52.43121,13.193298
219047,60053301431,S Wannsee Bhf ,52.421457,13.179099
219614,60230003821,S Griebnitzsee Bhf,52.393945,13.128808
220181,60230000842,S Babelsberg,52.391367,13.094631
220726,60023005896,S Potsdam Hauptbahnhof,52.390935,13.067187
221282,60023005897,S Potsdam Hauptbahnhof,52.390935,13.067187
221816,60230000841,S Babelsberg,52.391367,13.094631
222350,60230003822,S Griebnitzsee Bhf,52.393945,13.128808
222890,60052201424,S Nikolassee ,52.43121,13.193298
223432,60048101204,S Grunewald ,52.48868,13.261944
224662,60120003653,S Ostkreuz Bhf ,52.502851,13.469093
224711,60048101203,S Grunewald ,52.48868,13.261944
224788,60176001004,S Mahlsdorf Bhf ,52.512118,13.61123
225051,60320026002,S Birkenstein,52.515755,13.648591
225314,60320008004,S Hoppegarten,52.518141,13.673889
225703,60320007001,S Neuenhagen,52.520674,13.699994
225896,60320006015,S Fredersdorf,52.526461,13.761324
226683,60175001011,S+U Wuhletal ,52.512724,13.574536
227237,60175002002,S Kaulsdorf ,52.512122,13.58903
227569,60176001003,S Mahlsdorf Bhf ,52.512118,13.61123
227642,60320004532,S Strausberg Bhf,52.532364,13.834793
227993,60320005001,S Petershagen Nord,52.529185,13.790627
228189,60320006016,S Fredersdorf,52.526461,13.761324
228473,60320008005,S Hoppegarten,52.518141,13.673889
228757,60320026001,S Birkenstein,52.515755,13.648591
229328,60175002001,S Kaulsdorf ,52.512122,13.58903
229596,60320001001,S Strausberg Nord,52.5907,13.908894
229874,60320002001,S Strausberg Stadt,52.57745,13.888254
230152,60320003001,S Hegermühle,52.549039,13.86679
